LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5495268597799475
Amygdala;DICE;STD;0.04892478141216477
Amygdala;HDRFDST;MEAN;12.38383190151539
Amygdala;HDRFDST;STD;1.428533316030743
GreyMatter;DICE;MEAN;0.7265005317115162
GreyMatter;DICE;STD;0.007981735200941356
GreyMatter;HDRFDST;MEAN;2.151398484502916
GreyMatter;HDRFDST;STD;0.26736596806354623
Hippocampus;DICE;MEAN;0.5550665806598457
Hippocampus;DICE;STD;0.020109525033664827
Hippocampus;HDRFDST;MEAN;13.022153272164863
Hippocampus;HDRFDST;STD;1.011693706734375
Thalamus;DICE;MEAN;0.7557577014461847
Thalamus;DICE;STD;0.029576599440347136
Thalamus;HDRFDST;MEAN;13.89316335556226
Thalamus;HDRFDST;STD;1.6370742120203303
WhiteMatter;DICE;MEAN;0.8250219101724131
WhiteMatter;DICE;STD;0.01918348439939437
WhiteMatter;HDRFDST;MEAN;2.6406907072021326
WhiteMatter;HDRFDST;STD;0.35602329824928575
