LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.46806998797933275
Amygdala;DICE;STD;0.052734601552112306
Amygdala;HDRFDST;MEAN;17.868778876403567
Amygdala;HDRFDST;STD;1.4855105069280667
GreyMatter;DICE;MEAN;0.7114446320804827
GreyMatter;DICE;STD;0.008444544731702796
GreyMatter;HDRFDST;MEAN;3.3115799135265895
GreyMatter;HDRFDST;STD;0.6583604455974152
Hippocampus;DICE;MEAN;0.3783498931878501
Hippocampus;DICE;STD;0.013370729305671486
Hippocampus;HDRFDST;MEAN;19.43688122785324
Hippocampus;HDRFDST;STD;0.45568424849489914
Thalamus;DICE;MEAN;0.7139917621218121
Thalamus;DICE;STD;0.027169113223154774
Thalamus;HDRFDST;MEAN;8.259906614324631
Thalamus;HDRFDST;STD;1.036312077820293
WhiteMatter;DICE;MEAN;0.8210750871628706
WhiteMatter;DICE;STD;0.018896606955853115
WhiteMatter;HDRFDST;MEAN;2.5649032308095303
WhiteMatter;HDRFDST;STD;0.3482404579925098
