LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5477339168450136
Amygdala;DICE;STD;0.04841451918732768
Amygdala;HDRFDST;MEAN;12.387845426458377
Amygdala;HDRFDST;STD;1.428735696402343
GreyMatter;DICE;MEAN;0.7257162474609943
GreyMatter;DICE;STD;0.008059200729994718
GreyMatter;HDRFDST;MEAN;2.151398484502916
GreyMatter;HDRFDST;STD;0.26736596806354623
Hippocampus;DICE;MEAN;0.553618601544789
Hippocampus;DICE;STD;0.02057368361154455
Hippocampus;HDRFDST;MEAN;13.105681660242135
Hippocampus;HDRFDST;STD;0.9701073241621218
Thalamus;DICE;MEAN;0.7550516078661023
Thalamus;DICE;STD;0.029807908642222252
Thalamus;HDRFDST;MEAN;14.546821839369235
Thalamus;HDRFDST;STD;1.2609418597422566
WhiteMatter;DICE;MEAN;0.8254034466478941
WhiteMatter;DICE;STD;0.019187062919309262
WhiteMatter;HDRFDST;MEAN;2.6406907072021326
WhiteMatter;HDRFDST;STD;0.35602329824928575
