LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.547806296715983
Amygdala;DICE;STD;0.0484252918652389
Amygdala;HDRFDST;MEAN;12.39218915661785
Amygdala;HDRFDST;STD;1.4260602745336448
GreyMatter;DICE;MEAN;0.7257056985425177
GreyMatter;DICE;STD;0.008049461659667032
GreyMatter;HDRFDST;MEAN;2.151398484502916
GreyMatter;HDRFDST;STD;0.26736596806354623
Hippocampus;DICE;MEAN;0.5536274169895969
Hippocampus;DICE;STD;0.020590117146983406
Hippocampus;HDRFDST;MEAN;13.109169563355232
Hippocampus;HDRFDST;STD;0.9745118568805771
Thalamus;DICE;MEAN;0.7550365809726483
Thalamus;DICE;STD;0.029769803543334788
Thalamus;HDRFDST;MEAN;14.55520990429394
Thalamus;HDRFDST;STD;1.2433280508150812
WhiteMatter;DICE;MEAN;0.8254119162679329
WhiteMatter;DICE;STD;0.019185964780033732
WhiteMatter;HDRFDST;MEAN;2.6406907072021326
WhiteMatter;HDRFDST;STD;0.35602329824928575
