LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5508692311495835
Amygdala;DICE;STD;0.05093522548979891
Amygdala;HDRFDST;MEAN;12.518525444451502
Amygdala;HDRFDST;STD;1.1775061344300226
GreyMatter;DICE;MEAN;0.7265918122618661
GreyMatter;DICE;STD;0.008189099159405147
GreyMatter;HDRFDST;MEAN;2.151398484502916
GreyMatter;HDRFDST;STD;0.26736596806354623
Hippocampus;DICE;MEAN;0.54266031625051
Hippocampus;DICE;STD;0.01938862493839888
Hippocampus;HDRFDST;MEAN;13.256039134584194
Hippocampus;HDRFDST;STD;0.9886488063879639
Thalamus;DICE;MEAN;0.7465970484579757
Thalamus;DICE;STD;0.030864836578509726
Thalamus;HDRFDST;MEAN;14.828126415230917
Thalamus;HDRFDST;STD;1.0132457816004428
WhiteMatter;DICE;MEAN;0.8246886762372266
WhiteMatter;DICE;STD;0.018996660441789694
WhiteMatter;HDRFDST;MEAN;2.752733584216013
WhiteMatter;HDRFDST;STD;0.3499397295667687
