LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4627203116566312
Amygdala;DICE;STD;0.053504071262017824
Amygdala;HDRFDST;MEAN;17.62543511087346
Amygdala;HDRFDST;STD;1.531024869944644
GreyMatter;DICE;MEAN;0.7106469558152557
GreyMatter;DICE;STD;0.00833562550712454
GreyMatter;HDRFDST;MEAN;3.3394335051855664
GreyMatter;HDRFDST;STD;0.6694653571649872
Hippocampus;DICE;MEAN;0.3802904999422455
Hippocampus;DICE;STD;0.013881877313580326
Hippocampus;HDRFDST;MEAN;19.65085476338543
Hippocampus;HDRFDST;STD;0.37935085123442874
Thalamus;DICE;MEAN;0.7169171022229909
Thalamus;DICE;STD;0.02763094541170268
Thalamus;HDRFDST;MEAN;10.214108720003395
Thalamus;HDRFDST;STD;1.4737649256074112
WhiteMatter;DICE;MEAN;0.8207063732342256
WhiteMatter;DICE;STD;0.018501019424484923
WhiteMatter;HDRFDST;MEAN;2.7027969690058318
WhiteMatter;HDRFDST;STD;0.30803984211931074
