LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5541094803644186
Amygdala;DICE;STD;0.05015758079887981
Amygdala;HDRFDST;MEAN;12.3005648246
Amygdala;HDRFDST;STD;1.1384660714369994
GreyMatter;DICE;MEAN;0.7242144408207813
GreyMatter;DICE;STD;0.00902501422220782
GreyMatter;HDRFDST;MEAN;2.2064495102245982
GreyMatter;HDRFDST;STD;0.3627403462941939
Hippocampus;DICE;MEAN;0.5566410371643447
Hippocampus;DICE;STD;0.01955683055862566
Hippocampus;HDRFDST;MEAN;14.045780228287764
Hippocampus;HDRFDST;STD;1.1027500980006981
Thalamus;DICE;MEAN;0.7476456791171024
Thalamus;DICE;STD;0.027910823451534502
Thalamus;HDRFDST;MEAN;17.542746031491316
Thalamus;HDRFDST;STD;1.4325018934004063
WhiteMatter;DICE;MEAN;0.8221475761501503
WhiteMatter;DICE;STD;0.018991184782321747
WhiteMatter;HDRFDST;MEAN;2.9379755207497307
WhiteMatter;HDRFDST;STD;0.26134237979200425
