LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5516715232550171
Amygdala;DICE;STD;0.048797103327345215
Amygdala;HDRFDST;MEAN;12.47252291084727
Amygdala;HDRFDST;STD;1.3550543304199831
GreyMatter;DICE;MEAN;0.7274552089227413
GreyMatter;DICE;STD;0.00797504075267519
GreyMatter;HDRFDST;MEAN;2.151398484502916
GreyMatter;HDRFDST;STD;0.26736596806354623
Hippocampus;DICE;MEAN;0.5567684100635166
Hippocampus;DICE;STD;0.020637739687500697
Hippocampus;HDRFDST;MEAN;13.034550048096346
Hippocampus;HDRFDST;STD;1.000252489960177
Thalamus;DICE;MEAN;0.7522727056231793
Thalamus;DICE;STD;0.02996895693836529
Thalamus;HDRFDST;MEAN;14.55240723727782
Thalamus;HDRFDST;STD;1.1521473865891765
WhiteMatter;DICE;MEAN;0.8242656117207025
WhiteMatter;DICE;STD;0.01926625758132584
WhiteMatter;HDRFDST;MEAN;2.719348530673794
WhiteMatter;HDRFDST;STD;0.3242584905939673
