LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.5889182830078166
Amygdala;DICE;STD;0.058138392377144285
Amygdala;HDRFDST;MEAN;11.721173413958871
Amygdala;HDRFDST;STD;1.2704699130257717
GreyMatter;DICE;MEAN;0.7135881106743635
GreyMatter;DICE;STD;0.011890112070436096
GreyMatter;HDRFDST;MEAN;1.7974691494688162
GreyMatter;HDRFDST;STD;0.26287764588844426
Hippocampus;DICE;MEAN;0.5789357528455192
Hippocampus;DICE;STD;0.01748504276756901
Hippocampus;HDRFDST;MEAN;13.440655432324409
Hippocampus;HDRFDST;STD;0.921293411204292
Thalamus;DICE;MEAN;0.7727134959450812
Thalamus;DICE;STD;0.02316015675347997
Thalamus;HDRFDST;MEAN;12.41710853342975
Thalamus;HDRFDST;STD;2.848756863796223
WhiteMatter;DICE;MEAN;0.8056010226638275
WhiteMatter;DICE;STD;0.018979528480608066
WhiteMatter;HDRFDST;MEAN;3.490456365704637
WhiteMatter;HDRFDST;STD;0.34163483298981634
